trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
37,False,"{'a': 0.9, 'e': 0.0007304601899196494}",20,0,28.173255328680344,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.0006925207756232687}",20,0,22.43847166763897,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.9, 'e': 0.0006574621959237344}",20,0,-20.110193370169473,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
40,False,"{'a': 0.9, 'e': 0.000625}",20,0,23.807617303197418,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.9, 'e': 0.000594883997620464}",25,0,39.71609103912764,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.9, 'e': 0.0005668934240362812}",20,9,18.944614953615037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.9, 'e': 0.0005408328826392645}",25,8,29.282746926023258,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.9, 'e': 0.0005165289256198347}",20,10,16.8504134674457,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9, 'e': 0.0004938271604938272}",20,6,24.752825172870068,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.0004725897920604915}",20,10,14.615311704476753,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.0004526935264825713}",25,11,-20.325280341893755,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.9, 'e': 0.00043402777777777775}",20,6,27.647152572228556,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.9, 'e': 0.00041649312786339027}",20,2,27.358004490234975,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.9, 'e': 0.0004}",20,16,6.570965307817117,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.9, 'e': 0.00038446751249519417}",25,5,-5.107657070330811,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.9, 'e': 0.0003698224852071006}",25,12,24.307264836740295,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.9, 'e': 0.000355998576005696}",30,17,26.982641305877415,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.9, 'e': 0.0003429355281207133}",25,9,28.15411414891761,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.9, 'e': 0.00033057851239669424}",20,10,19.91732778779816,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.9, 'e': 0.00031887755102040814}",20,5,-1.2879677237388887,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.9, 'e': 0.0003077870113881194}",25,3,29.621808575015002,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.9, 'e': 0.00029726516052318666}",25,7,25.65963775491318,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.9, 'e': 0.0002872737719046251}",20,12,19.62555877863658,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.9, 'e': 0.0002777777777777778}",20,0,29.844720637172642,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.9, 'e': 0.0002687449610319806}",20,14,11.147116459561325,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.9, 'e': 0.00026014568158168577}",30,15,25.623737994396624,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.9, 'e': 0.0002519526329050139}",20,3,26.67456154778517,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.9, 'e': 0.000244140625}",25,2,12.271101657995592,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
